id,title_english,format,status,season,seasonYear,seasonInt,episodes,duration,averageScore,meanScore,popularity,favourites
10918,,MOVIE,FINISHED,FALL,2010.0,104.0,1.0,34.0,68.0,69.0,4447,24
97933,"Wake Up, Girls! New Chapter",TV,FINISHED,FALL,2017.0,174.0,13.0,24.0,62.0,63.0,4441,21
3076,,SPECIAL,FINISHED,SPRING,1995.0,952.0,3.0,16.0,68.0,69.0,4439,28
113971,,MOVIE,NOT_YET_RELEASED,WINTER,2026.0,261.0,1.0,,,,4436,33
2198,Oh! My Goddess: Flights of Fancy Specials,SPECIAL,FINISHED,WINTER,2007.0,71.0,2.0,24.0,72.0,73.0,4436,23
3574,,OVA,FINISHED,FALL,2008.0,84.0,2.0,30.0,62.0,62.0,4435,10
98582,Ace of Diamond: Second Season OVA,OVA,FINISHED,SUMMER,2016.0,163.0,2.0,24.0,74.0,75.0,4434,41
8422,,SPECIAL,FINISHED,FALL,2008.0,84.0,1.0,3.0,59.0,59.0,4433,13
106499,Pokémon the Series: XYZ Specials,SPECIAL,FINISHED,FALL,2016.0,164.0,2.0,25.0,69.0,69.0,4431,39
197754,LIAR GAME,TV,NOT_YET_RELEASED,,,,,,,,4428,21
2842,Pokémon Mystery Dungeon: Team Go-Getters Out of the Gate!,SPECIAL,FINISHED,FALL,2006.0,64.0,1.0,22.0,61.0,62.0,4427,20
124394,Yatogame-chan Kansatsu Nikki 3,TV_SHORT,FINISHED,WINTER,2021.0,211.0,12.0,4.0,61.0,62.0,4424,27
373,All Purpose Cultural Cat Girl Nuku Nuku,OVA,FINISHED,FALL,1992.0,924.0,6.0,28.0,64.0,65.0,4423,47
98104,,ONA,FINISHED,WINTER,2017.0,171.0,20.0,12.0,55.0,56.0,4418,43
2931,,TV,FINISHED,FALL,2007.0,74.0,24.0,24.0,67.0,68.0,4412,29
9396,,SPECIAL,FINISHED,WINTER,2011.0,111.0,1.0,23.0,72.0,72.0,4405,23
143203,AMAIM Warrior at the Borderline Part 2,TV,FINISHED,SPRING,2022.0,222.0,12.0,24.0,61.0,62.0,4404,51
